participant,question,explId,explIndex,text,acc,satis,satisfaction,accuracy,causation,functional,general,mechanism
LbndoeYlKUcPJBiiO,1,1,1,Thunder makes noise because of the lightning strikes.,2,2,3.6666666666666665,5.222222222222222,3.4545454545454546,1.7,4.625,2.7777777777777777
OYnGamcvLdkrbNCpl,1,2,2,Because of sound waves.,2,1,4.111111111111111,5.222222222222222,1.272727272727273,1.5,4.375,2.3333333333333335
DJUgSmvbEzBEYDwyy,1,3,3,It vibrates through the air.,5,3,3.7777777777777777,5,2.090909090909091,2.7,4.5,3
tayeEnzSbzOZbRISq,1,4,4,Because it makes noise when it makes contact with something.,5,2,2.4444444444444446,3.7777777777777777,2,2.1,2.875,3.7777777777777777
jCOiImiBmtLwLopui,1,5,5,It makes a booming sound.,5,4,2.888888888888889,3.111111111111111,0,1,4.25,2
dzPhiPsNyrqACtKeh,1,6,6,Because there is a lot of friction on the microscopic level.,5,5,3.4444444444444446,4,4.181818181818182,1.5,4.875,3.5555555555555554
uljTgaXkRxHHEmojx,1,7,7,Because God is bowling in heaven.,1,1,3.2222222222222223,2,2.7272727272727275,0.7,1.125,3.2222222222222223
JREQXLaKksGWMSqXb,1,8,8,It is the sound caused by lightning.,6,5,3,5.444444444444445,2.909090909090909,2.5,4.875,2
LYYiFPceCNWbGDeQG,1,9,9,The particles in the clouds are slapping together which reverberates and creates a noise.,3,4,4,4.555555555555555,4.181818181818182,2.6,3.875,4.222222222222222
QAkjQJxLPvRlaPEao,1,10,10,Thunder makes noise because lightening is electricity and creates sound when it flashes.,4,3,2.4444444444444446,4,4.2727272727272725,2.6,4,3.5555555555555554
oxajVZqcisjaNgiPi,1,11,11,Electrons in the atmosphere being turn apart causes loud thunder.,6,6,2.888888888888889,4.666666666666667,3.909090909090909,2.9,4.375,5
ZdnGdYMAgxTnCHxTp,1,12,12,The lightening breaks the sound barrier causing a sonic boom.,6,6,3.3333333333333335,4.111111111111111,5.181818181818182,3,4.5,3.888888888888889
ElhXNkZeXOVggOXNN,1,13,13,The rapid disruption of air caused by the electrical discharge of lightning creates the thunder noise.,6,6,4.666666666666667,6,4.909090909090909,3.3,4.875,5.555555555555555
DTtUKJRMBHaUYxEDV,1,14,14,It is the sound of two different clouds crashing together.,2,4,2.3333333333333335,2,3.5454545454545454,2.3,1.875,3.7777777777777777
